codigo,descripcion,kcal_100g
P007,"Atún, enlatado al natural",86.0
P028,"Atún, lomito fresco, crudo",137.0
P041,"Bocaditos de pescado, prefritos",248.0
P021,"Brótola, cruda",83.0
P012,"Caballa, enlatada",149.0
P003,"Calamar, crudo",99.0
P004,Camarón,91.0
P031,"Cornalitos, crudos",86.0
P023,"Corvina, cruda",97.0
P035,"Dorado, crudo",99.0
P024,"Gatuzo, crudo",72.0
P039,Kani Kama,96.0
P005,Langostino,96.0
P022,"Lenguado, crudo",88.0
P006,"Mejillón, crudo",83.0
P020,"Merluza, cruda",80.0
P045,Merluza,104.0
P040,"Milanesa de pescado, prefrita",248.0
P036,"Pacú, crudo",121.0
P033,"Palometa, cruda",215.0
P030,"Pejerrey, crudo",86.0
P001,"Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.), PROMEDIO, crudo",80.0
P002,Palometa,277.0
P025,"Pollo de mar, crudo",100.0
P038,"Pulpo, crudo",78.0
P047,Rabas (restaurant),259.0
P037,"Sábalo, crudo",148.0
P026,"Salmón blanco, crudo",114.0
P027,"Salmón rosado, crudo",122.0
P044,"Sardinas, enlatadas al natural",170.0
P013,"Sardinas, enlatadas en aceite",202.0
P034,"Pescados de río (ej: dorado, pa- lometa, surubí, trucha, etc.), PRO- MEDIO, crudo",134.0
P032,"Pescados de río (ej: dorado, pa- lometa, surubí, trucha, etc.), PRO- MEDIO, crudo",134.0
Z003,Aceite comestible mezcla,900.0
Z030,Aceite comestible mezcla,900.0
Z005,Aceite de canola,900.0
Z032,Aceite de canola,900.0
Z023,Aceite de chía,892.0
Z036,Aceite de chía,892.0
Z022,Aceite de coco,900.0
Z034,Aceite de coco,900.0
Z001,Aceite de girasol,900.0
Z020,Aceite de girasol alto oleico,900.0
Z027,Aceite de girasol alto oleico,900.0
Z026,Aceite de girasol,900.0
Z002,Aceite de maíz,900.0
Z028,Aceite de maíz,900.0
Z021,Aceite mezcla con oliva,900.0
Z029,Aceite mezcla con oliva,900.0
Z004,Aceite de oliva,900.0
Z031,Aceite de oliva,900.0
Z042,Aceite de sésamo,900.0
Z007,Aceite de soja,900.0
Z035,Aceite de soja,900.0
Z006,Aceite de uva,900.0
Z033,Aceite de uva,900.0
Z024,Rocío vegetal,900.0
Z037,Rocío vegetal,900.0
Z043,Almendra,570.0
Z050,Almendra,570.0
Z008,Alimento a base de almendras (le- che de almendras),36.0
Z009,Avellana,631.0
Z011,Maní tostado salado,596.0
Z010,Maní tostado sin sal,596.0
Z048,Mantequilla de maní,607.0
Z047,"Alimento a base de leche entera y café, fortificado con calcio, varios sabores, listo para consumir",48.0
Z016,"Mix de frutos secos, semillas y pasas de uva",515.0
Z012,Nuez,690.0
Z013,Pistacho salado,566.0
Z038,Pistacho salado,566.0
Z041,Semilla de chía,374.0
Z014,Semilla de girasol,592.0
Z049,Semilla de girasol con sal y con cáscara,586.0
Z015,Semilla de sésamo,565.0
Z044,Semilla de zapallo,581.0
Z046,Semilla de amapola,481.0
Z039,Semilla de lino,459.0
D003,Azúcar blanca molida,400.0
D127,Azúcar impalpable,399.0
D004,Azúcar morena / azúcar mascabo,393.0
D116,Glucosa,339.0
D037,Alfajor de arroz,486.0
D001,Alfajor de chocolate,411.0
D028,Alfajor de chocolate con relleno tipo mousse,540.0
D002,Alfajor de dulce de leche,381.0
D036,Alfajor de fruta,387.0
D029,Alfajor de maicena,405.0
D107,Alfajor de miel,303.0
D035,Alfajor light,300.0
D041,Barra de arroz rellena bañada,501.0
D044,Bombones de fruta,327.0
D014,Caramelos duros,394.0
D015,Caramelos duros light,236.0
D013,Caramelos masticables,398.0
D012,Caramelos rellenos,394.0
D042,Chicles,380.0
D043,Chicles sin azúcar,256.0
D047,Chupetín,394.0
D034,Dulce de leche,315.0
D033,Cubanito relleno,506.0
D080,Garrapiñada de maní,539.0
D048,Gomitas de gelatina,374.0
D040,Merengues / merenguitos,347.0
D038,Minitorta bañada,403.0
D032,Oblea bañada tipo Kit Kat,514.0
D045,Pastillas,336.0
D046,Pastillas sin azúcar,380.0
D030,Rhodesia,519.0
D079,Tableta de dulce de leche light,316.0
D078,Tableta de dulce de leche,339.0
D031,"Prefritos congelados, patitas de vegetales (espinaca)",225.0
D052,Baño de repostería para cubrir tortas,564.0
D053,Barra de chocolate tipo Kinder,552.0
D054,Dulce de leche,315.0
D055,Bombón tipo Bon O Bon,556.0
D050,Cacao amargo*,285.0
D018,Cacao en polvo sin fortificar*,383.0
D123,Galletitas dulces con chips de chocolate,480.0
D057,Chocolate 60% cacao o más,547.0
D126,Chocolate amargo,575.0
D058,Chocolate blanco,548.0
D059,Chocolate con almendras,534.0
D056,Chocolate con maní,542.0
D060,Chocolate light,566.0
D016,Chocolate para taza,519.0
D095,Dulce de leche,315.0
D017,Chocolatín / chocolate con leche,522.0
D061,Huevo de chocolate tipo Kinder,538.0
D063,Lentejas de chocolate,485.0
D062,Maní con chocolate,534.0
D131,Medallón de menta y chocolate,545.0
D133,Pasas de uva con chocolate,411.0
